CODIGO_OSINERG,DIRECCION,DISTRITO,direccion_consultada,lat,lon,pase,osm_class,osm_type,display_name
108311,"MALECON SAN MARTIN - MANZANA 50. LOTES 6, 7, 8, 51 Y 52. SECTOR BALNEARIO",PUCUSANA,"MALECON. SAN MARTIN - MANZANA 50, PUCUSANA, LIMA, PERU",-12.480755,-76.797989,2,highway,residential,"Malecon San Martín, Pucusana, Lima, Lima Metropolitana, Lima, 15866, Perú"
108688,AV. SAN JUAN DE DIOS CON CALLE 7  MZ- C1- LTE-1 URB. LOTIZACION INDUSTRIAL,PUENTE PIEDRA,"AV. SAN JUAN DE DIOS CON CALLE 7 MZ- C1- LTE-1, PUENTE PIEDRA, LIMA, PERU",,,0,,,
108709,AV. LEONCIO PRADO Nº 344 - ZAPALLAL,PUENTE PIEDRA,"AV. LEONCIO PRADO 344 - ZAPALLAL, PUENTE PIEDRA, LIMA, PERU",-11.837432,-77.108289,1,highway,tertiary,"Calle Leoncio Prado, Zapallal, Puente Piedra, Lima, Lima Metropolitana, Lima, 15122, Perú"
109801,"AV. UNIVERSITARIA NORTE N° 8290 (MZ. P, LT 1-38) URB. SAN AGUSTIN 2DA. ETAPA",COMAS,"AV. UNIVERSITARIA NORTE 8290, COMAS, LIMA, PERU",,,0,,,
110659,"AV. LAS LOMAS DE CARABAYLLO MZ- B LTES 14,15 Y 16 - PROGRAMA DE VIVIENDA SAN JOSE",CARABAYLLO,"AV. LAS LOMAS DE CARABAYLLO, CARABAYLLO, LIMA, PERU",-11.880961,-77.026379,3,highway,residential,"Calle Las Palmeras, Asentamiento Humano Lomas de Carabayllo, Santo Domingo, Carabayllo, Lima, Lima Metropolitana, Lima, 15318, Perú"
111552,"ASOCIACION DE PROPIETARIOS SEÑOR DE HUANCA MZ. D, LOTE 1 ",CIENEGUILLA,"ASOCIACION DE PROPIETARIOS SEÑOR DE HUANCA MZ. D, LOTE 1, CIENEGUILLA, LIMA, PERU",,,0,,,
112178,"AV. FRANCISCO PIZARRO Nº 770, 772, 774, 776, 778, 780, 782, 784 Y 786 ESQ. CON AV. FELIPE ARANCIBIA",RIMAC,"AV. FRANCISCO PIZARRO 770, RIMAC, LIMA, PERU",-12.030808,-77.042026,2,highway,secondary,"Avenida Francisco Pizarro, Urbanización Villacampa, Rímac, Lima, Lima Metropolitana, Lima, 15025, Perú"
113128,"AV. LOS INCAS CON AV. SINCHI ROCA, MZ. A, LT. 18",COMAS,"AV. LOS INCAS CON AV. SINCHI ROCA, MZ. A, LT. 18, COMAS, LIMA, PERU",,,0,,,
114073,AV. NICOLAS ARRIOLA N° 1003,LA VICTORIA,"AV. NICOLAS ARRIOLA 1003, LA VICTORIA, LIMA, PERU",-12.089836,-77.022164,1,highway,tertiary,"Calle Manuel Méndez, Urbanización Santa Catalina, La Victoria, Lima, Lima Metropolitana, Lima, 15033, Perú"
115245,CALLE LIMA SUR N° 1529 (EX CARRETERA CENTRAL) PARTE DEL LOTE 43 DEL FUNDO MOYOPAMPA ,LURIGANCHO,"CALLE. LIMA SUR 1529, LURIGANCHO, LIMA, PERU",-11.940357,-76.701063,2,amenity,place_of_worship,"Las Asambleas de Dios del Peru, Calle Trujillo Sur, El Jardín, San Antonio, Chosica, Lurigancho, Lima, Lima Metropolitana, Lima, 15468, Perú"
115931,"AV. UNIVERSITARIA S/N, MZ. A  LOTES 15 Y 16 PROGRAMA DE VIVIENDA LAS MERCEDES",CARABAYLLO,"AV. UNIVERSITARIA, CARABAYLLO, LIMA, PERU",-11.87522,-77.024625,3,highway,secondary,"Avenida Universitaria, AH Nueva Estrella, El Progreso, Carabayllo, Lima, Lima Metropolitana, Lima, 15321, Perú"
116243,"AV. IQUITOS 967-969,973-979,983-989-993-997-999 Y AV. ISABEL LA CATÓLICA 201-203,221-229,233",LA VICTORIA,"AV. IQUITOS 967, LA VICTORIA, LIMA, PERU",-12.069823,-77.028618,2,place,house,"967, Avenida Iquitos, La Victoria, Lima, Lima Metropolitana, Lima, 15011, Perú"
116395,"AV. CARAPONGO MZ. H LOTE 1-2, URB. LOS TULIPANES DE CARAPONGO",LURIGANCHO,"AV. CARAPONGO, LURIGANCHO, LIMA, PERU",-12.007436,-76.886948,3,highway,tertiary,"Avenida Carapongo, Carapongo, Lurigancho, Lima, Lima Metropolitana, Lima, 15487, Perú"
116752,"AV. 200 Y AV. 150  IZQUIERDA, MZ. L¿2 LOTE 4, GRUPO RESIDENCIAL B4 SECTOR B PROYECTO PILOTO NUEVO PACHACUTEC",VENTANILLA,"AV. 200 Y AV. 150, VENTANILLA, LIMA, PERU",-11.883898,-77.123233,2,boundary,administrative,"Ventanilla, Callao, Lima Metropolitana, Callao, 07051, Perú"
116829,CARRETERA CENTRAL KM 14.800 ESQUINA  CON AV. GLORIA - GLORIA ALTA,ATE,"CARRETERA. CENTRAL KM 14, ATE, LIMA, PERU",-12.00823,-76.859993,2,highway,trunk,"Carretera Central, San Germán, Ate, Lima, Lima Metropolitana, Lima, 15487, Perú"
117443,"AV. GUARDIA CHALACA MZ. 24 LOTE 17, ESQUINA CON AV. SAENZ PEÑA, URB. SANTA MARIA",CALLAO,"AV. GUARDIA CHALACA MZ. 24, CALLAO, LIMA, PERU",-12.055722,-77.133202,2,highway,primary,"Avenida Guardia Chalaca, Santa Marina, Callao, Lima Metropolitana, Callao, 07001, Perú"
117590,"PREDIO RURAL SAN PEDRO LOTE UNICO, VALLE DE LURIN, ANTIGUA PANAMERICANA SUR, KM. 34.5",LURIN,"PANAMERICANA. SUR, LURIN, LIMA, PERU",-12.277955,-76.869162,3,highway,residential,"Auxiliar Antigua Panamericana Sur, Las Virreinas, Fundo San José, Lurín, Lima, Lima Metropolitana, Lima, 15823, Perú"
118132,BAHIA DEL CALLAO,CALLAO,"BAHIA DEL CALLAO, CALLAO, LIMA, PERU",-12.045961,-77.081672,1,highway,tertiary,"Bahía, Urbanización Industrial Wiese, Lima, Lima Metropolitana, Lima, 07006, Perú"
118240,"AV. UNIVERSITARIA CRUCE CON AV. MANUEL PRADO MZ. B LOTE 04,05,06,07 Y 08 PROGRAMA DE VIVIENDA SANTA ROSA ",CARABAYLLO,"AV. UNIVERSITARIA CRUCE CON AV. MANUEL PRADO MZ. B LOTE 04,05,06,07 Y 08, CARABAYLLO, LIMA, PERU",,,0,,,
118280,"AV. SANTA ROSA MZ. D, LOTE 01 - ASOCIACION DE PROPIETARIOS LOS PARRALES DE PUENTE PIEDRA",PUENTE PIEDRA,"AV. SANTA ROSA, PUENTE PIEDRA, LIMA, PERU",-11.87488,-77.077943,3,highway,secondary,"Avenida Santa Rosa, Urbanización Augusto Bedoya, Puente Piedra, Lima, Lima Metropolitana, Lima, 15118, Perú"
118693,"MZ. A LOTE 1, URB. LOS TULIPANES ",LURIGANCHO,"MZ. A LOTE 1, LURIGANCHO, LIMA, PERU",,,0,,,
118799,"LOTE25,MZ.N¿, AGRUPAMIENTO PACHACAMAC,SECTOR SEGUNDO,PARCELAA/BARRIO1(ALT.INTERSECC DE LAS AV.SEPARADORA INDUSTRIAL Y AV.PROLONGACION UNIVERSITARIA)",VILLA EL SALVADOR,"LOTE25,MZ.N, VILLA EL SALVADOR, LIMA, PERU",,,0,,,
120987,"AV. LAS TORRES MZ. F, SUB LOTE 6A, ESQUINA CON AV. HUACHIPA, LOTIZACIÓN LA CAPITANA - SANTA MARÍA DE HUACHIPA",LURIGANCHO,"AV. LAS TORRES, LURIGANCHO, LIMA, PERU",-12.014101,-76.900994,3,highway,trunk,"Avenida Las Torres, Lurigancho, Lima, Lima Metropolitana, Lima, 15487, Perú"
121053,"SECTOR 1, GRUPO 22, MZ. I, LOTE 01",VILLA EL SALVADOR,"SECTOR 1, GRUPO 22, MZ. I, LOTE 01, VILLA EL SALVADOR, LIMA, PERU",,,0,,,
121126,"AV. ANDRES AVELINO CACERES LT 15, ZONA H,  PJ PROYECTO ESPECIAL HUAYCAN",ATE,"AV. ANDRES AVELINO CACERES LT 15, ATE, LIMA, PERU",-11.997311,-76.834668,2,highway,secondary,"Avenida Andrés Avelino Cáceres, Pariachi, Huaycán, Ate, Lima, Lima Metropolitana, Lima, 15474, Perú"
121358,"AV. CHOSICA-CARRETERA CAJAMARQUILLA, PARCELA 89, LOTE 89-B, URB. CAJAMARQUILLA, SEGUNDA ETAPA, ESQUINA CALLE 03.",LURIGANCHO,"AV. CHOSICA-CARRETERA CAJAMARQUILLA, PARCELA 89, LOTE 89-B, LURIGANCHO, LIMA, PERU",,,0,,,
121965,AV. LAS TORRES Y ESQ. AV. CAJAMARQUILLA (AV. MEDIA LUNA) PARCELA MEDIA LUNA MZ. E LOTE 7 ,LURIGANCHO,"AV. LAS TORRES, LURIGANCHO, LIMA, PERU",-12.014101,-76.900994,3,highway,trunk,"Avenida Las Torres, Lurigancho, Lima, Lima Metropolitana, Lima, 15487, Perú"
122618,PARCELA 6 COOPERATIVA AGRARIA MARIA PARADO DE BELLIDO,CARABAYLLO,"PARCELA 6, CARABAYLLO, LIMA, PERU",-11.794993,-76.989292,1,boundary,administrative,"Carabayllo, Lima, Lima Metropolitana, Lima, Perú"
123168,"MZ. A, LOTES 65, 66, 1, URBANIZACIÓN TUNGASUCA",CARABAYLLO,"MZ. A, LOTES 65, 66, 1, CARABAYLLO, LIMA, PERU",,,0,,,
123546,AV. LOS PROCERES ESQ. CON AV. CONFRATERNIDAD MZ D2 LOTES 29-41 URB. SANTA ANA,LOS OLIVOS,"AV. LOS PROCERES ESQ. CON AV. CONFRATERNIDAD MZ D2 LOTES 29-41, LOS OLIVOS, LIMA, PERU",,,0,,,
123796,AV. UNIVERSITARIA N° 100  URB. SANTA ISABEL,CARABAYLLO,"AV. UNIVERSITARIA 100, CARABAYLLO, LIMA, PERU",-11.897723,-77.038386,1,highway,residential,"Avenida Universitaria, Carabayllo, Lima, Lima Metropolitana, Lima, 15316, Perú"
123805,"AV. INDUSTRIAL, MZ. F LOTE 5, ESQUINA AV. SAN JUAN, URB. LAS VEGAS",PUENTE PIEDRA,"AV. INDUSTRIAL, PUENTE PIEDRA, LIMA, PERU",-11.86717,-77.066096,3,highway,residential,"Avenida Industrial, Las Casuarinas, Urbanización Augusto Bedoya, Puente Piedra, Lima, Lima Metropolitana, Lima, 15118, Perú"
123985,"CARRETERA CENTRAL SUB PARCELA 8A DE LA PARCELA N°10015 EX FUNDO PARIACHI MZ. A LT. 1 Y 2, PROGRAMA DE VIVIENDA 'LAS PONCIANAS DE PARIACHI'",ATE,"CARRETERA CENTRAL SUB PARCELA 8A DE LA PARCELA 10015 EX, ATE, LIMA, PERU",,,0,,,
124175,"AV. LOS ARQUITECTOS S/N MZ A LOTES 10-12 SECTOR G BARRIO XV GRUPO RESIDENCIAL 4, PROYECTO ESPECIAL PACHACUTEC",VENTANILLA,"AV. LOS ARQUITECTOS, VENTANILLA, LIMA, PERU",-11.814768,-77.135253,3,highway,primary,"Avenida Los Arquitectos, Ancón, Lima, Lima Metropolitana, Lima, 15122, Perú"
124260,AV. SAN MARTIN DE PORRAS MZ CL 1 LOTE 18-19 CANTO GRANDE  ,SAN JUAN DE LURIGANCHO,"AV. SAN MARTIN DE PORRAS MZ CL 1 LOTE 18-19 CANTO GRANDE, SAN JUAN DE LURIGANCHO, LIMA, PERU",,,0,,,
125601,AV. REPUBLICA DE CROACIA (ANTES AV. LEONCIO PRADO) CON AV. COPACABANA KM 35 DE LA PANAMERICANA. NORTE MZ. N LT 186,PUENTE PIEDRA,"AV. REPUBLICA DE CROACIA CON AV. COPACABANA KM 35 DE LA PANAMERICANA. NORTE MZ. N LT 186, PUENTE PIEDRA, LIMA, PERU",,,0,,,
125695,"AV. HEROES DEL ALTO CENEPA, LTE 27 (AUTOPISTA TRAPICHE - CHILLON)",COMAS,"AV. HEROES DEL ALTO CENEPA, LTE 27, COMAS, LIMA, PERU",,,0,,,
125850,MZ. N LOTE 9 PARCELACION SEMI RUSTICA DEL FUNDO CANTO GRANDE 2DA ETAPA,SAN JUAN DE LURIGANCHO,"MZ. N LOTE 9, SAN JUAN DE LURIGANCHO, LIMA, PERU",,,0,,,
125855,AV. DEFENSORES DEL MORRO (EX AV. HUAYLAS) N° 1391 H.U. EL MORRO,CHORRILLOS,"AV. DEFENSORES DEL MORRO 1391, CHORRILLOS, LIMA, PERU",-12.207947,-76.989066,2,highway,primary,"Avenida Prolongación Defensores del Morro, Delicias de Villa, Chorrillos, Lima, Lima Metropolitana, Lima, 15067, Perú"
126097,LOTIZACION SEMI RUSTICA LEONCIO PRADO LOTE 108 MZ I,PUENTE PIEDRA,"LOTIZACION SEMI RUSTICA LEONCIO PRADO LOTE 108 MZ I, PUENTE PIEDRA, LIMA, PERU",,,0,,,
128675,ALFREDO MENDIOLA N° 700 - 704 URB. PALAO,SAN MARTIN DE PORRES,"ALFREDO MENDIOLA 700 - 704, SAN MARTIN DE PORRES, LIMA, PERU",-12.019894,-77.059707,1,shop,yes,"Zocalos Perú, Avenida Alfredo Mendiola, Palao, San Martín de Porres, Lima, Lima Metropolitana, Lima, 15102, Perú"
129641,"SUB LOTE 1-A QUE FORMO PARTE DEL LOTE 1 DE LA MZ F, URB. CANTO GRANDE UNIDAD 12	",SAN JUAN DE LURIGANCHO,"SUB LOTE 1-A QUE FORMO PARTE DEL LOTE 1 DE LA MZ F, SAN JUAN DE LURIGANCHO, LIMA, PERU",,,0,,,
130599,AV. RETAMAL S/N MZ. I LT. 10 AL 15 ASOCIACION DE VIVIENDA ECOLOGICA-AVIECO QUEBRADA RETAMAL,PACHACAMAC,"AV. RETAMAL, PACHACAMAC, LIMA, PERU",-12.152108,-76.875178,3,place,square,"Plaza Cívica de la Quebrada Retamal, Pachacámac, Lima, Lima Metropolitana, Lima, 15594, Perú"
130775,"AV. LA PAZ Y CALLE GRAN MARISCAL AGUSTIN GAMARRA MESSIA (ANTES JIRON) DENOMINADO LOTE 246, SUBLOTE A,B,C Y D DE LA MZ. 14 URBANIZACIÓN MIRAMAR..",SAN MIGUEL,"AV. LA PAZ, SAN MIGUEL, LIMA, PERU",-12.088531,-77.086813,3,highway,secondary,"Avenida La Paz, San Miguel, Lima, Lima Metropolitana, Lima, 15032, Perú"
131174,"MZ 1-B, LOTE 02 SUB PARCELA 1-E (3ERA ETAPA) NUEVA URBANIZACION TORRE BLANCA",CARABAYLLO,"MZ 1-B, LOTE 02 SUB PARCELA 1-E NUEVA, CARABAYLLO, LIMA, PERU",,,0,,,
132204,"AV. NICOLAS ARRIOLA N° 2140 ESQUINA CON AV. SAN LUIS, URBANIZACION  SAN LUIS",SAN LUIS,"AV. NICOLAS ARRIOLA 2140, SAN LUIS, LIMA, PERU",-12.072172,-77.002457,2,place,house,"2140, Avenida Nicolás Arriola, Mariscal Ramón Castilla, San Luis, Lima, Lima Metropolitana, Lima, 15019, Perú"
132211,CARRETERA CENTRAL KM. 22.700	,CHACLACAYO,"CARRETERA CENTRAL KM. 22.700, CHACLACAYO, LIMA, PERU",-11.995374,-76.830708,1,office,telecommunication,"Oberthur Technologies Of Peru S.A., Km. 17.5, Carretera Central, Villa Rica Baja, Villa Rica, Chaclacayo, Lima, Lima Metropolitana, Lima, 15474, Perú"
133099,AV. JOSÉ CARLOS MARIATEGUI N° 1184-1292 ,VILLA MARIA DEL TRIUNFO,"AV. JOSÉ CARLOS MARIATEGUI 1184, VILLA MARIA DEL TRIUNFO, LIMA, PERU",-12.14855,-76.950786,2,highway,secondary,"Avenida José Carlos Mariátegui, Villa Limatambo, Vallecito, Villa María del Triunfo, Lima, Lima Metropolitana, Lima, 15811, Perú"
133262,UNIVERSITARIA S/N CRUCE CON CALLE 2,CARABAYLLO,"UNIVERSITARIA CRUCE CON CALLE 2, CARABAYLLO, LIMA, PERU",,,0,,,
134060,AV. JOSÉ SACO ROJAS MZ.B LOTE 9 PROGRAMA DE VIVIENDA LAS DALIAS,CARABAYLLO,"AV. JOSÉ SACO ROJAS, CARABAYLLO, LIMA, PERU",-11.858213,-77.043528,3,highway,construction,"Avenida José Saco Rojas, Las Flores, San Antonio, San Pedro de Carabayllo, Carabayllo, Lima, Lima Metropolitana, Lima, 15121, Perú"
134913,"A.H. PROYECTO INTEGRAL ALIANZA INDUSTRIAL DE LAS LOMAS MZ. C LOTE 5 - SECTOR CRUZ DEL NORTE 1, ZONA BAJA ",CARABAYLLO,"A.H. PROYECTO INTEGRAL ALIANZA INDUSTRIAL DE LAS LOMAS MZ. C LOTE 5 - SECTOR CRUZ DEL NORTE 1, ZONA BAJA, CARABAYLLO, LIMA, PERU",,,0,,,
135513,"AV. LURIGANCHO MZ. B LOTE 10 A,B,C,D, E Y SUB LOTE 10 F1",SAN JUAN DE LURIGANCHO,"AV. LURIGANCHO, SAN JUAN DE LURIGANCHO, LIMA, PERU",-12.016792,-76.99539,3,highway,primary,"Avenida Lurigancho, Mangomarca, San Juan de Lurigancho, Lima, Lima Metropolitana, Lima, 15427, Perú"
135731,"AV. X-5 MZ. G-1 LOTES 5, 6 Y 7 (ANTIGUA PANAMERICANA SUR)",LURIN,"AV. X-5, LURIN, LIMA, PERU",-12.265391,-76.830136,3,highway,tertiary,"Av. Panpas de Lurín, Urbanización Praderas de Lurín, Lurín, Lima, Lima Metropolitana, Lima, 15823, Perú"
136355,AV. NICOLAS AYLLON (ANTES CARRETERA CENTRAL) PREDIO SEMI RUSTICO PARIACHI PARCELA 10906,ATE,"AV. NICOLAS AYLLON PREDIO SEMI RUSTICO PARIACHI PARCELA 10906, ATE, LIMA, PERU",,,0,,,
137892,"AV. LOS ALISOS, ESQUINA CON AV. MANUEL MUJICA GALLO LT 1A, 1, 2, 3, 4, 5 Y 36 MZ. A, PROGRAMA DE VIVIENDA Y COMERCIO RESIDENCIAL EL ROSARIO",CALLAO,"AV. LOS ALISOS, CALLAO, LIMA, PERU",-11.977221,-77.112899,3,highway,tertiary,"Avenida Los Alisos, Oquendo, Callao, Lima Metropolitana, Callao, 15112, Perú"
138446,"ASOC. DE VIVIENDA CASA TALLER SANTA MARGARITA MZ L LOTE 3, 4, 5-A",VENTANILLA,"ASOC. DE VIVIENDA CASA TALLER SANTA MARGARITA MZ L LOTE 3, 4, 5-A, VENTANILLA, LIMA, PERU",,,0,,,
138914,"COOPERATIVA DE VIVIENDA VILLA DEL MAR N° 104-LADO B, AV 1RO DE MAYO N° 2289 Y N° 2291 Y PSJ. VILLA N° 194 Y 196",EL AGUSTINO,"AV. 1RO DE MAYO, EL AGUSTINO, LIMA, PERU",-12.030287,-77.005042,3,highway,residential,"Avenida Malecon de la Amistad, El Agustino, Lima, Lima Metropolitana, Lima, 15401, Perú"
13930,"AV. ANGAMOS ESTE N° 1159 (ANTES: AV. PRIMAVERA N° 1159), URB. VALLE HERMOSO DE MONTERRICO ",SANTIAGO DE SURCO,"AV. ANGAMOS ESTE 1159, SANTIAGO DE SURCO, LIMA, PERU",-12.110594,-76.982607,1,highway,primary,"Avenida Primavera, Bella Luz, Urb. Chacarilla del Estanque (Surco), Santiago de Surco, Lima, Lima Metropolitana, Lima, 51132, Perú"
139411,PARCELACIÓN HUERTOS DE VILLENA MZ. B LT. 4,PACHACAMAC,"PARCELACIÓN HUERTOS DE VILLENA MZ. B LT. 4, PACHACAMAC, LIMA, PERU",,,0,,,
142077,INTERSECCION DE LA AV. LOS HALCONES Y LA CALLE SAN LUIS DE NIEVERIA LOTE 3B,LURIGANCHO,"AV. LOS HALCONES, LURIGANCHO, LIMA, PERU",-12.013222,-76.999857,3,highway,residential,"Los Halcones, El Sauce, San Juan de Lurigancho, Lima, Lima Metropolitana, Lima, 15427, Perú"
142258,MZ 'G' LTE 7 ALT. KM 33.50 CARRETERA LIMA - CANTA,CARABAYLLO,"MZ G LTE 7, CARABAYLLO, LIMA, PERU",,,0,,,
142298,URB. SANTA MARIA 5TA ETAPA MZ. C-1 LOTE 01,CARABAYLLO,"URB. SANTA MARIA 5TA ETAPA MZ. C-1 LOTE 01, CARABAYLLO, LIMA, PERU",,,0,,,
142686,"LOTE 1 MZ. A-I ASOCIACION URB. POPULAR LOS CEDROS DE VILLA, SECTOR CAJAMARQUILLA, ESQUINA AV. CAJAMARQUILLA Y CALLE LOS CEDROS",LURIGANCHO,"AV. CAJAMARQUILLA, LURIGANCHO, LIMA, PERU",-11.983362,-76.909587,3,highway,tertiary,"Avenida Cajamarquilla, Mirador de Niveria, Lurigancho, Lima, Lima Metropolitana, Lima, 15487, Perú"
142938, AV. MEXICO N° 2383 INTERSECCION CON JR. VIRREY LA SERNA ,LA VICTORIA,"AV. MEXICO 2383, LA VICTORIA, LIMA, PERU",-12.065748,-77.004306,1,place,house,"2383, Avenida México, Fortis, La Victoria, Lima, Lima Metropolitana, Lima, 15019, Perú"
144228,JR. LAS RETAMAS MZ. A LOTE 01 COOPERATIVA DE VIVIENDA LAS PIRAMIDES,EL AGUSTINO,"JR. LAS RETAMAS MZ. A LOTE 01, EL AGUSTINO, LIMA, PERU",,,0,,,
144359,AV. VENEZUELA N° 3300,LIMA,"AV. VENEZUELA 3300, LIMA, LIMA, PERU",-12.063088,-77.097525,1,highway,secondary,"Auxiliar Avenida República de Venezuela, Villalba, San Miguel, Lima, Lima Metropolitana, Lima, 06011, Perú"
144374,"PANAMERICANA SUR MZ. P, LOTES 18, 19, 20, COOPERATIVA DE VIVIENDA AMERICA S.R.LTDA",SAN JUAN DE MIRAFLORES,"PANAMERICANA. SUR, SAN JUAN DE MIRAFLORES, LIMA, PERU",-12.170824,-76.978892,3,highway,secondary,"Panamericana Sur, José Joaquin Inclan, San Juan de Miraflores, Lima, Lima Metropolitana, Lima, 15801, Perú"
144526,"LOTE 1, CON FRENTE A LA AV. HEROES ALTO CENEPA - EX FUNDO CHACRA CERRO",COMAS,"LOTE 1, CON, COMAS, LIMA, PERU",,,0,,,
144855,AV. ALAMEDA N° 180,LURIGANCHO,"AV. ALAMEDA 180, LURIGANCHO, LIMA, PERU",-11.958563,-76.996576,1,place,house,"180, Avenida Naciones Unidas, Proyecto Especiales, Bayóvar, San Juan de Lurigancho, Lima, Lima Metropolitana, Lima, 15423, Perú"
14583,INTERSECCION DE AV. OSCAR R. BENAVIDES N° 4600 Y AV. SAN JOSE URB. SAN JOSE,BELLAVISTA,"AV. OSCAR R. BENAVIDES 4600, BELLAVISTA, LIMA, PERU",-12.051713,-77.087325,2,highway,primary,"Avenida Óscar Raimundo Benavides, Lima, Lima Metropolitana, Lima, 07006, Perú"
