visitId;fullVisitorId;date;visitStartTime;channelGrouping;source;medium;deviceCategory;browser;operatingSystem;isMobile;continent;country;city;transactionRevenue;sessionDuration;pageViews;visitNumber;isReturningVisitor;firstVisitDate
4087030;3379791186;20231219;1702978444;Display;direct;(none);tablet;Chrome;iOS;False;Asia;Spain;Sydney;0;373;7;5;True;20230705
6683357;3260490361;20230815;1692101566;Social;direct;referral;desktop;Firefox;Macintosh;False;Europe;Spain;Berlin;16037;268;7;2;True;20230503
5799091;5034587985;20230119;1674109713;Email;direct;(none);desktop;Firefox;Android;False;Asia;Brazil;Madrid;0;297;7;3;True;20221230
1068506;8982665046;20230104;1672820458;Display;facebook;email;tablet;Firefox;Linux;False;Americas;Australia;New York;0;635;6;2;True;20221203
4149861;8319585567;20230921;1695336304;Direct;newsletter;cpc;mobile;Safari;iOS;False;Americas;Australia;Mumbai;11075;48;4;2;True;20230214
9401756;1050081096;20230126;1674719035;Social;google;email;mobile;Chrome;Windows;True;Asia;Germany;Madrid;15021;874;7;4;True;20230108
9096007;7860762562;20230106;1672973279;Email;google;organic;desktop;Firefox;iOS;False;Africa;Brazil;New York;8028;439;6;4;True;20221205
4659971;9348342627;20230920;1695206573;Email;direct;cpc;mobile;Safari;Windows;True;Oceania;Germany;Madrid;0;1185;7;3;True;20230707
5045149;2475381489;20230624;1687641480;Display;google;email;tablet;Firefox;Linux;True;Asia;USA;São Paulo;8130;871;3;1;False;20230422
2557614;3136112787;20230311;1678509670;Display;direct;email;tablet;Opera;Windows;True;Asia;Australia;Mumbai;5815;99;4;3;True;20230126
5361070;4864009086;20230523;1684821867;Social;youtube;organic;tablet;Chrome;Android;True;Oceania;Australia;New York;0;926;2;2;True;20230205
3675648;4368953793;20231019;1697730097;Paid Search;youtube;organic;desktop;Safari;Windows;False;Africa;Spain;São Paulo;3936;1171;2;2;True;20221213
5502674;6291254266;20231028;1698524705;Email;youtube;organic;mobile;Safari;Macintosh;False;Americas;Australia;New York;0;804;8;1;False;20230127
6523736;8310676511;20230623;1687529380;Referral;facebook;referral;desktop;Firefox;Windows;False;Asia;Australia;Sydney;17502;65;7;3;True;20230604
3531715;4589694938;20230719;1689799416;Email;google;organic;mobile;Chrome;Windows;True;Europe;Spain;Berlin;0;416;4;2;True;20230410
1582763;8480575659;20230820;1692565137;Display;direct;cpc;tablet;Edge;Linux;False;Asia;Spain;Sydney;0;1131;9;3;True;20230529
7100459;7097439621;20230526;1685072883;Referral;bing;cpc;mobile;Opera;Linux;False;Europe;Germany;Mumbai;19709;921;9;1;False;20230211
4241839;8999054215;20230802;1690977597;Paid Search;newsletter;organic;mobile;Firefox;Android;True;Europe;USA;São Paulo;0;687;3;3;True;20230729
5253579;4624458481;20230113;1673591047;Display;bing;organic;tablet;Chrome;Linux;True;Americas;Spain;Mumbai;19551;798;9;3;True;20221229
8131058;5201313977;20230408;1680928080;Direct;youtube;email;tablet;Edge;Linux;False;Asia;Brazil;New York;0;108;8;4;True;20230111
3693866;7978895862;20230905;1693907843;Direct;bing;(none);tablet;Firefox;Android;False;Americas;Australia;Mumbai;16141;116;7;3;True;20230617
8411274;7500563092;20230207;1675730197;Referral;youtube;(none);mobile;Edge;Windows;False;Oceania;Spain;New York;0;198;8;2;True;20221222
9288702;9186560316;20230721;1689952224;Paid Search;youtube;email;desktop;Firefox;Macintosh;True;Americas;Brazil;New York;12732;853;5;3;True;20221216
8565346;6566085910;20230109;1673242864;Display;facebook;referral;tablet;Firefox;Windows;True;Africa;Germany;Sydney;1145;872;9;2;True;20221204
1278410;9461068861;20230824;1692851275;Paid Search;direct;(none);desktop;Safari;Android;False;Africa;USA;Mumbai;0;958;6;3;True;20230519
5009926;5053516044;20230526;1685117657;Organic Search;youtube;referral;desktop;Edge;Linux;True;Europe;Australia;Sydney;0;326;7;5;True;20230307
3181113;6294871094;20230820;1692494642;Social;newsletter;referral;mobile;Firefox;Linux;True;Oceania;India;São Paulo;0;128;8;2;True;20230729
1508913;6654799371;20230525;1684987253;Direct;newsletter;organic;tablet;Chrome;Macintosh;True;Americas;India;Berlin;11912;682;6;4;True;20230218
3367235;8443183607;20231129;1701240695;Email;newsletter;cpc;mobile;Safari;Windows;True;Europe;Germany;Mumbai;0;1036;6;3;True;20230728
1590528;4680740314;20230525;1685031477;Direct;youtube;referral;mobile;Chrome;Windows;True;Asia;USA;Madrid;0;988;8;5;True;20230121
3043528;9610752836;20230904;1693859056;Social;youtube;referral;tablet;Opera;Android;False;Asia;Spain;Berlin;0;190;1;5;True;20230307
6231954;8115346459;20231031;1698735350;Referral;newsletter;(none);mobile;Chrome;Android;True;Oceania;Spain;Mumbai;0;525;9;5;True;20230405
3342094;1167735444;20230723;1690121032;Organic Search;youtube;(none);mobile;Firefox;Android;True;Asia;Germany;São Paulo;0;340;7;4;True;20230706
1137477;6217164499;20230915;1694801206;Direct;bing;cpc;tablet;Safari;Windows;True;Asia;Spain;Madrid;0;364;10;4;True;20230802
5277415;7638396661;20231108;1699467866;Social;direct;email;desktop;Firefox;Android;False;Oceania;Spain;New York;0;428;1;4;True;20230908
4736851;5622311848;20230129;1674979095;Social;facebook;(none);mobile;Firefox;iOS;False;Africa;Spain;New York;0;899;2;4;True;20230106
9048779;2802901530;20231019;1697699842;Email;facebook;(none);desktop;Opera;Macintosh;False;Asia;Brazil;Madrid;0;515;10;5;True;20230927
1195795;1779628583;20230830;1693436659;Display;youtube;email;mobile;Firefox;iOS;True;Europe;Germany;São Paulo;6248;1126;3;3;True;20230805
4179938;7601389468;20231217;1702849199;Referral;google;cpc;mobile;Safari;Macintosh;False;Europe;India;Madrid;0;197;5;3;True;20230915
3759311;1113279126;20230331;1680265043;Direct;bing;organic;mobile;Opera;Windows;False;Europe;USA;Sydney;0;839;2;3;True;20230101
1375587;1955513355;20230921;1695291493;Display;newsletter;organic;desktop;Firefox;Android;False;Asia;India;Mumbai;17586;412;5;2;True;20230811
2677395;1667570649;20230101;1672571292;Paid Search;facebook;(none);mobile;Safari;Macintosh;False;Americas;Spain;New York;0;95;8;2;True;20221206
2437536;7257250152;20230518;1684425740;Paid Search;bing;organic;mobile;Firefox;Windows;False;Americas;India;São Paulo;0;1180;1;2;True;20230310
6276087;8499515419;20231109;1699517148;Referral;newsletter;(none);tablet;Safari;iOS;True;Europe;Brazil;Berlin;0;942;10;2;True;20230102
7511107;4373681969;20230731;1690775666;Social;direct;(none);desktop;Firefox;iOS;True;Oceania;Australia;São Paulo;0;345;8;1;False;20230405
3507699;1575883347;20230406;1680763116;Display;youtube;referral;desktop;Safari;Android;False;Americas;India;New York;0;1130;3;5;True;20230111
7045075;9763608041;20230516;1684277898;Paid Search;bing;cpc;mobile;Firefox;Linux;False;Americas;USA;Sydney;0;497;3;4;True;20230125
2567874;6009610062;20230502;1682988566;Display;youtube;email;desktop;Edge;Windows;False;Oceania;Spain;Sydney;8705;244;10;1;False;20230211
1710130;1526124551;20231005;1696538959;Direct;facebook;organic;mobile;Safari;Windows;False;Europe;Brazil;Madrid;6731;911;2;1;False;20230113
1813006;6291338765;20230104;1672831091;Referral;youtube;referral;tablet;Edge;iOS;True;Americas;USA;São Paulo;0;805;10;4;True;20221214
9534102;2494307715;20231013;1697203625;Direct;youtube;referral;mobile;Opera;Windows;True;Europe;USA;Madrid;0;599;4;1;False;20230602
3403452;5572192637;20230502;1683005782;Direct;youtube;(none);tablet;Firefox;Android;True;Africa;India;Madrid;0;690;4;5;True;20221220
1889311;7647541837;20231126;1701038425;Referral;bing;organic;tablet;Opera;iOS;False;Europe;India;Mumbai;0;984;10;1;False;20230516
7468037;9121561050;20230108;1673156474;Email;bing;email;mobile;Chrome;iOS;True;Oceania;India;New York;15342;137;9;4;True;20221227
9592225;3147372911;20230629;1688025150;Display;facebook;email;tablet;Firefox;Windows;True;Americas;Brazil;Berlin;0;971;1;2;True;20230523
9602158;4916616799;20230901;1693576673;Referral;bing;(none);mobile;Chrome;Windows;False;Asia;Spain;Berlin;0;598;1;3;True;20230726
4926073;3782094755;20230104;1672820114;Social;youtube;referral;tablet;Safari;iOS;False;Europe;India;Sydney;0;477;7;1;False;20221225
8271574;7567678827;20231006;1696572934;Organic Search;direct;referral;mobile;Edge;Android;False;Africa;Australia;Sydney;0;907;3;2;True;20230920
2608065;7761365751;20230727;1690454287;Direct;youtube;email;mobile;Chrome;Macintosh;False;Americas;Australia;Mumbai;11602;524;9;2;True;20230202
6288738;6773964577;20230527;1685226111;Social;bing;referral;tablet;Chrome;Android;True;Asia;Spain;São Paulo;0;715;6;1;False;20230218
5026491;4222846813;20230510;1683704624;Paid Search;google;cpc;desktop;Safari;iOS;False;Asia;USA;Mumbai;0;442;10;1;False;20230109
9930611;9976450314;20231112;1699799365;Referral;facebook;(none);desktop;Chrome;Windows;False;Europe;Australia;Berlin;0;529;3;2;True;20230715
7790869;6377664136;20230517;1684343990;Email;bing;organic;desktop;Firefox;Linux;False;Asia;Brazil;Berlin;0;444;7;1;False;20230213
9588268;8463923300;20231119;1700431937;Referral;direct;organic;mobile;Firefox;Linux;True;Africa;Australia;Madrid;0;480;2;3;True;20230429
1616371;6947758893;20231203;1701628437;Organic Search;direct;organic;tablet;Safari;Macintosh;True;Americas;Spain;Madrid;0;1066;6;4;True;20230318
2043477;4448326140;20231220;1703041822;Social;facebook;cpc;desktop;Edge;Android;True;Europe;Spain;Mumbai;0;844;5;5;True;20230917
2750705;1921728511;20231107;1699368377;Paid Search;youtube;cpc;tablet;Opera;Windows;True;Oceania;Australia;Sydney;0;719;10;3;True;20230127
6436660;8072043828;20230302;1677751164;Organic Search;direct;(none);desktop;Chrome;Macintosh;False;Europe;Australia;Madrid;18533;116;6;1;False;20230227
4075745;4424832608;20230130;1675047312;Direct;newsletter;(none);tablet;Chrome;iOS;False;Africa;India;New York;9675;923;1;1;False;20221216
9049011;1490358153;20230919;1695121691;Paid Search;facebook;referral;mobile;Safari;Macintosh;True;Europe;Australia;New York;6925;355;1;4;True;20230725
2542301;6064980849;20230310;1678434842;Email;google;email;mobile;Chrome;Macintosh;True;Asia;Germany;New York;0;152;7;4;True;20221228
3782942;3878196014;20230912;1694560733;Email;bing;cpc;tablet;Safari;iOS;True;Africa;Germany;Sydney;0;1176;6;5;True;20230410
9554761;8220034399;20230925;1695613589;Direct;facebook;cpc;desktop;Firefox;Linux;True;Africa;Spain;São Paulo;0;594;5;4;True;20230116
7948147;6841557218;20230520;1684583701;Paid Search;google;email;desktop;Safari;Android;True;Africa;Germany;Madrid;0;93;2;5;True;20221231
5163202;3044433815;20230304;1677943998;Display;direct;(none);desktop;Edge;iOS;True;Oceania;Brazil;Mumbai;0;89;3;4;True;20230118
3679243;8669739934;20231117;1700231214;Direct;facebook;email;mobile;Firefox;Windows;False;Europe;USA;Sydney;4345;676;3;1;False;20230123
1327364;1443241528;20230914;1694732337;Referral;facebook;(none);desktop;Safari;Windows;False;Americas;Spain;Mumbai;0;1070;4;4;True;20230707
5953547;6918111700;20230109;1673300257;Referral;direct;referral;mobile;Safari;Android;True;Americas;USA;Mumbai;3873;1160;10;2;True;20221224
5892513;1591540101;20231103;1698997419;Email;newsletter;(none);desktop;Chrome;Windows;True;Africa;USA;Sydney;0;154;1;3;True;20230210
2548927;6576809764;20230704;1688483902;Referral;newsletter;organic;desktop;Opera;Linux;False;Europe;Spain;New York;0;1022;1;2;True;20230415
2633556;5346505437;20230809;1691571502;Referral;youtube;cpc;desktop;Edge;Linux;False;Oceania;Brazil;Berlin;0;212;6;1;False;20230410
6602965;7738144377;20230224;1677220537;Paid Search;google;cpc;mobile;Safari;iOS;False;Americas;India;Sydney;8468;767;10;1;False;20230127
5251975;1556390579;20230615;1686867331;Display;direct;(none);mobile;Firefox;Android;True;Oceania;Spain;São Paulo;7058;756;9;3;True;20230306
1343072;1973475215;20230801;1690873970;Direct;google;email;desktop;Firefox;Android;True;Europe;Brazil;New York;0;915;7;4;True;20230228
8828537;5830046669;20230823;1692789544;Direct;direct;(none);tablet;Chrome;Macintosh;False;Africa;India;Madrid;0;605;7;2;True;20230223
8474808;1243056098;20231010;1696923116;Referral;newsletter;cpc;mobile;Edge;Android;True;Africa;Brazil;New York;18799;415;5;3;True;20230421
5749835;9913062942;20230708;1688799658;Display;direct;referral;tablet;Edge;Android;True;Asia;Germany;Berlin;3456;904;7;1;False;20230208
7568087;2506767187;20230722;1690000805;Paid Search;google;email;mobile;Chrome;Linux;True;Americas;Spain;São Paulo;0;736;9;5;True;20230528
4460884;6764814020;20230908;1694141833;Email;direct;(none);mobile;Safari;Linux;True;Africa;India;Berlin;0;964;4;2;True;20221231
2322273;4706030102;20230728;1690544839;Social;bing;organic;tablet;Chrome;Android;True;Americas;USA;São Paulo;0;806;6;3;True;20221223
1412945;7249251018;20230123;1674496932;Referral;newsletter;(none);mobile;Safari;Linux;True;Africa;Germany;Madrid;16098;497;9;3;True;20221216
2069221;5484025774;20230816;1692227316;Paid Search;facebook;cpc;mobile;Edge;Windows;True;Asia;Australia;Madrid;0;216;3;3;True;20221227
4059709;9253243461;20230428;1682700871;Direct;newsletter;(none);tablet;Firefox;Macintosh;False;Oceania;Spain;Sydney;9407;873;6;4;True;20221208
5751037;8947447171;20230116;1673846294;Organic Search;facebook;referral;tablet;Firefox;Linux;False;Asia;Germany;New York;0;949;3;4;True;20230114
4663510;7547908156;20231014;1697320733;Paid Search;newsletter;referral;tablet;Safari;Windows;True;Asia;Spain;New York;11709;455;2;2;True;20230307
7604790;5838118270;20230122;1674368263;Display;youtube;referral;desktop;Firefox;Android;False;Americas;Brazil;Mumbai;0;696;10;1;False;20221229
7300018;9678792306;20231002;1696248334;Referral;google;(none);desktop;Chrome;Linux;False;Americas;Spain;New York;0;104;7;1;False;20230318
5965333;3114381018;20231009;1696816104;Referral;google;(none);desktop;Opera;Macintosh;False;Asia;Brazil;Sydney;0;1136;10;1;False;20230324
9316734;6467350478;20230821;1692615073;Organic Search;youtube;(none);tablet;Chrome;Macintosh;False;Europe;Spain;São Paulo;0;457;8;3;True;20230427
9247129;2380215693;20231002;1696206973;Social;google;organic;tablet;Firefox;Macintosh;False;Asia;USA;Mumbai;0;944;8;2;True;20230426
7440451;7121358820;20230429;1682749260;Paid Search;bing;referral;desktop;Chrome;iOS;True;Oceania;Spain;New York;6625;309;7;5;True;20230415
6397807;4079175723;20231213;1702459312;Email;google;(none);desktop;Safari;Macintosh;True;Europe;Germany;Madrid;0;873;5;2;True;20230322
1873850;1780898525;20231102;1698956317;Direct;bing;(none);mobile;Safari;Windows;False;Asia;Spain;Madrid;0;565;7;1;False;20230107
6063349;9589186998;20230527;1685206360;Social;bing;(none);mobile;Chrome;Windows;False;Africa;USA;Sydney;2744;258;9;5;True;20230116
3855106;5244314566;20230620;1687265866;Direct;facebook;referral;desktop;Opera;iOS;True;Africa;Brazil;Mumbai;0;864;1;5;True;20230316
8502736;5004642605;20230823;1692794886;Referral;google;cpc;desktop;Edge;Linux;True;Europe;USA;Madrid;0;14;7;1;False;20230103
4415996;9620797499;20230515;1684163070;Direct;google;email;tablet;Firefox;Linux;False;Europe;USA;Madrid;0;436;7;1;False;20230507
8241836;1455995159;20230815;1692094414;Direct;youtube;referral;mobile;Safari;Android;False;Africa;Spain;New York;8105;697;4;2;True;20230104
1733332;5085632108;20230523;1684812525;Display;direct;email;desktop;Opera;Linux;False;Americas;India;Sydney;0;499;10;3;True;20230505
4607644;7664325440;20230513;1683980808;Organic Search;newsletter;cpc;mobile;Chrome;Linux;True;Africa;Spain;São Paulo;0;313;8;2;True;20230103
9972704;6169766068;20231001;1696173488;Referral;google;referral;mobile;Chrome;iOS;False;Europe;Brazil;Sydney;0;312;9;2;True;20230930
1593502;2337612167;20230202;1675319101;Email;facebook;(none);mobile;Firefox;Windows;True;Oceania;Germany;Sydney;0;537;6;5;True;20230122
6104927;6051056279;20231221;1703123048;Direct;google;referral;mobile;Chrome;iOS;True;Europe;Australia;New York;0;777;1;2;True;20230821
5869029;1371843972;20231120;1700487396;Social;newsletter;referral;mobile;Firefox;iOS;True;Africa;Australia;São Paulo;0;711;9;3;True;20230331
5118309;4819175144;20230103;1672721541;Direct;youtube;referral;desktop;Opera;Linux;False;Oceania;Brazil;Madrid;0;1109;6;3;True;20221228
2096099;6696455972;20231125;1700949894;Referral;facebook;organic;tablet;Opera;Android;True;Africa;Germany;Sydney;0;340;3;3;True;20230424
8938692;7128354020;20230207;1675747470;Direct;facebook;(none);mobile;Opera;Android;False;Asia;Brazil;Sydney;0;857;4;3;True;20221231
8898039;6082670741;20230507;1683456837;Referral;google;organic;tablet;Edge;Linux;True;Europe;Germany;Mumbai;17809;191;10;3;True;20230115
8576430;3132557247;20230711;1689107085;Organic Search;facebook;(none);mobile;Opera;Android;True;Oceania;Australia;New York;11304;390;8;2;True;20230527
7472196;9441206555;20230915;1694756815;Paid Search;newsletter;organic;desktop;Opera;Android;False;Asia;Australia;São Paulo;2327;1140;4;1;False;20221205
6961763;1925723666;20230325;1679720851;Paid Search;direct;(none);desktop;Opera;iOS;False;Asia;USA;Sydney;17780;28;9;3;True;20230111
5572271;4425943833;20230517;1684342237;Organic Search;facebook;referral;desktop;Edge;iOS;False;Africa;Australia;São Paulo;0;1035;9;3;True;20230206
9415022;2483022228;20230507;1683503906;Paid Search;youtube;email;mobile;Edge;Android;False;Americas;Brazil;São Paulo;0;516;10;5;True;20221230
6082974;9164302898;20230606;1686057089;Display;google;cpc;mobile;Edge;Android;False;Europe;Brazil;São Paulo;0;728;2;4;True;20230226
8440187;6153552103;20230129;1674993725;Social;bing;cpc;desktop;Opera;Windows;True;Africa;India;Mumbai;6890;810;5;5;True;20221224
1901885;8580349140;20230727;1690426943;Direct;newsletter;cpc;desktop;Firefox;Windows;False;Asia;Australia;São Paulo;0;786;5;2;True;20230409
5202269;1225056114;20231013;1697161260;Display;google;(none);desktop;Edge;Macintosh;True;Africa;India;Mumbai;0;1048;2;1;False;20230625
4364698;2885957311;20230424;1682321556;Email;direct;cpc;desktop;Firefox;iOS;False;Asia;Spain;São Paulo;0;352;5;5;True;20230415
8389506;5516454826;20230509;1683639298;Direct;bing;cpc;desktop;Firefox;Android;True;Oceania;India;Berlin;0;763;8;1;False;20230226
1632979;8140968736;20230102;1672679098;Social;bing;cpc;mobile;Edge;Linux;False;Europe;India;Madrid;0;1100;8;3;True;20221215
7819584;4637881616;20230102;1672632962;Paid Search;direct;organic;mobile;Opera;Android;True;Africa;USA;Berlin;0;1200;2;3;True;20221203
1167080;8197818255;20231006;1696588292;Direct;youtube;email;desktop;Opera;iOS;True;Asia;Germany;Madrid;5190;16;4;3;True;20230912
5885287;3392796566;20231114;1699926746;Referral;bing;organic;mobile;Safari;Macintosh;False;Africa;Brazil;São Paulo;0;172;1;4;True;20231029
6069255;5253806523;20231227;1703692699;Referral;youtube;email;tablet;Edge;Android;True;Africa;Brazil;Berlin;0;212;9;3;True;20230618
8445567;4727734939;20230811;1691753793;Paid Search;newsletter;(none);mobile;Chrome;iOS;False;Americas;Brazil;New York;0;924;5;5;True;20230315
7764839;3977107633;20230716;1689501858;Direct;facebook;cpc;desktop;Chrome;Macintosh;True;Africa;India;São Paulo;0;804;8;2;True;20221209
3093682;4329065032;20230903;1693702253;Direct;newsletter;organic;tablet;Chrome;Macintosh;True;Oceania;Germany;Mumbai;0;718;1;1;False;20230129
6120641;5032636332;20230607;1686138163;Direct;youtube;cpc;mobile;Chrome;iOS;True;Asia;Brazil;New York;0;714;6;5;True;20230314
6051792;6249334196;20231212;1702360492;Paid Search;facebook;organic;tablet;Chrome;Linux;False;Asia;Brazil;Berlin;0;580;6;2;True;20231024
2118127;9623477425;20230411;1681201403;Paid Search;google;(none);tablet;Safari;iOS;True;Africa;USA;São Paulo;0;743;7;1;False;20221213
9955543;9652035661;20231031;1698747218;Organic Search;newsletter;organic;tablet;Chrome;Windows;False;Europe;Spain;New York;0;1028;4;2;True;20230601
4593936;6960408823;20230731;1690837700;Organic Search;google;email;desktop;Chrome;Windows;True;Americas;Brazil;Berlin;0;1193;9;5;True;20230211
4976937;4220983148;20231012;1697115600;Display;facebook;cpc;desktop;Edge;Macintosh;True;Americas;India;Berlin;0;371;2;3;True;20230926
6069807;2475581640;20230706;1688667544;Paid Search;google;organic;tablet;Safari;iOS;True;Oceania;USA;Mumbai;0;817;1;3;True;20230420
4929888;8104082456;20231211;1702277052;Email;youtube;referral;tablet;Firefox;iOS;False;Europe;USA;São Paulo;0;269;9;4;True;20231126
8423401;5849186462;20230829;1693312726;Paid Search;newsletter;cpc;tablet;Edge;Linux;False;Oceania;India;Sydney;0;793;5;4;True;20230807
2544350;4527322016;20230110;1673311770;Email;google;cpc;desktop;Edge;Macintosh;False;Europe;USA;New York;0;50;7;3;True;20230109
7034564;1846077459;20230107;1673126595;Social;facebook;referral;desktop;Safari;Linux;True;Asia;Australia;Sydney;0;1006;9;3;True;20221225
1414672;3598981240;20230722;1690029068;Direct;newsletter;(none);mobile;Firefox;Macintosh;True;Asia;Australia;São Paulo;11847;919;9;1;False;20230125
3158870;7456799213;20230531;1685568001;Referral;bing;(none);tablet;Safari;Android;True;Africa;Germany;New York;0;270;3;5;True;20230519
8800656;6054175750;20231120;1700462795;Email;google;cpc;mobile;Safari;Macintosh;False;Europe;India;New York;7993;846;9;4;True;20230212
8578753;7408617317;20230630;1688164814;Email;direct;cpc;desktop;Opera;Macintosh;True;Asia;India;Berlin;0;98;7;5;True;20230206
9910611;9125388415;20230903;1693727934;Referral;bing;cpc;tablet;Edge;iOS;False;Americas;USA;New York;7525;546;10;3;True;20230415
1593961;5152337729;20230422;1682181145;Email;facebook;cpc;mobile;Chrome;iOS;True;Asia;USA;Mumbai;3044;234;7;2;True;20230204
1860255;8515145812;20230820;1692509690;Social;facebook;email;tablet;Edge;Macintosh;False;Americas;Brazil;Sydney;9249;1006;8;2;True;20230715
2062525;9698869231;20230203;1675418450;Email;newsletter;referral;desktop;Safari;iOS;False;Africa;Spain;Sydney;9197;195;6;2;True;20221211
5763179;1188763474;20230315;1678894235;Display;direct;(none);tablet;Edge;Android;True;Americas;Germany;Sydney;0;250;5;3;True;20230108
9158309;7395502861;20230608;1686214618;Organic Search;direct;cpc;tablet;Safari;Macintosh;False;Oceania;Australia;Madrid;1060;26;10;2;True;20230111
8132178;7689119234;20231113;1699899358;Email;youtube;cpc;tablet;Safari;Linux;False;Africa;Germany;Madrid;0;121;1;3;True;20230309
8964869;5080242544;20230313;1678672499;Display;google;(none);mobile;Edge;Macintosh;True;Europe;USA;Berlin;16919;883;9;1;False;20230310
5480189;3554449511;20231214;1702549580;Email;facebook;referral;desktop;Opera;Windows;False;Africa;Brazil;São Paulo;0;402;6;1;False;20230714
7524386;1376259694;20230819;1692403511;Direct;newsletter;organic;mobile;Firefox;Windows;False;Americas;Germany;Sydney;0;510;1;2;True;20221231
1290945;8338438027;20231120;1700504689;Referral;google;(none);tablet;Chrome;iOS;False;Europe;Germany;Berlin;0;199;7;3;True;20231013
9053083;8607932381;20230517;1684321815;Direct;youtube;organic;mobile;Chrome;Windows;True;Africa;Brazil;Berlin;8380;614;10;5;True;20230226
8447057;8495761296;20231029;1698620106;Social;facebook;organic;mobile;Edge;iOS;True;Asia;Germany;Sydney;0;536;4;1;False;20230125
8529840;4971348477;20230207;1675777798;Paid Search;google;email;mobile;Chrome;Macintosh;False;Africa;India;Sydney;0;279;1;2;True;20230121
7997348;2424338957;20230422;1682189694;Organic Search;newsletter;(none);desktop;Safari;iOS;True;Asia;Germany;Mumbai;2533;1117;7;1;False;20221205
6075051;9721454926;20231222;1703207575;Organic Search;facebook;organic;desktop;Edge;Android;True;Europe;India;Berlin;0;169;3;1;False;20230828
8855474;5889913708;20231228;1703807459;Social;newsletter;(none);tablet;Edge;Windows;True;Americas;Brazil;New York;0;415;6;2;True;20231106
8718562;8902583755;20231103;1699034258;Display;youtube;referral;tablet;Chrome;Macintosh;True;Asia;India;Mumbai;0;1155;4;3;True;20230110
2175484;3576075175;20230908;1694152477;Direct;youtube;organic;tablet;Safari;iOS;True;Asia;Spain;New York;2482;176;8;1;False;20230221
2800265;6381108132;20231216;1702708243;Paid Search;bing;cpc;mobile;Opera;Linux;False;Europe;Germany;New York;13002;151;10;1;False;20221206
4253886;1506719697;20231229;1703815258;Referral;youtube;(none);desktop;Safari;Windows;False;Europe;USA;New York;0;380;2;4;True;20230211
7178631;5846955372;20230605;1685925659;Direct;facebook;referral;tablet;Opera;Android;False;Americas;USA;Madrid;0;39;6;4;True;20230511
7364506;8691433404;20231123;1700724258;Referral;youtube;email;tablet;Chrome;iOS;True;Europe;Brazil;New York;7712;955;4;1;False;20230527
2740100;4297658956;20230627;1687880412;Direct;direct;cpc;desktop;Safari;Android;False;Americas;USA;Berlin;0;685;7;3;True;20230501
7433867;4681989322;20231030;1698663640;Direct;youtube;cpc;desktop;Safari;Windows;False;Oceania;Brazil;Madrid;0;434;4;4;True;20230120
2385020;6444264341;20230704;1688441303;Display;bing;email;desktop;Safari;Windows;False;Africa;USA;New York;6587;964;9;3;True;20230418
6659491;9094725428;20230120;1674257935;Direct;newsletter;cpc;tablet;Opera;Android;False;Americas;Spain;Mumbai;14673;556;10;4;True;20230119
